,H_orig,H_f,LE_orig,LE_f,ET_orig,ET_f,CO2,H2O,NEE_orig,NEE_f,Reco,GPP_f,Ustar,location,date,year,month,day,30min
1,,-44.25002,,148.725575,,0.10852626791468585,,,,13.359751000000001,2.44475,-10.915,,0,2023-01-01 00:00:00,2023,1,1,0
2,,-39.860156700000005,,109.25281670000001,,0.0797048983274579,,,,9.3379393,2.42177,-6.9162,,0,2023-01-01 00:30:00,2023,1,1,1
3,,-39.860156700000005,,109.25281670000001,,0.07969528930854433,,,,9.3379393,2.40937,-6.9286,,0,2023-01-01 01:00:00,2023,1,1,2
4,,-39.860156700000005,,109.25281670000001,,0.07969742444585134,,,,9.3379393,2.41209,-6.9259,,0,2023-01-01 01:30:00,2023,1,1,3
5,,-39.860156700000005,,109.25281670000001,,0.0796756209256821,,,,9.3379393,2.38403,-6.9539,,0,2023-01-01 02:00:00,2023,1,1,4
6,,-39.860156700000005,,109.25281670000001,,0.07966868594361463,,,,9.3379393,2.37506,-6.9629,,0,2023-01-01 02:30:00,2023,1,1,5
7,,-39.860156700000005,,109.25281670000001,,0.07964606038859957,,,,9.3379393,2.34597,-6.992,,0,2023-01-01 03:00:00,2023,1,1,6
8,,-39.860156700000005,,109.25281670000001,,0.07962839549247994,,,,9.3379393,2.32321,-7.0147,,0,2023-01-01 03:30:00,2023,1,1,7
9,,-39.860156700000005,,109.25281670000001,,0.0796491068525241,,,,9.3379393,2.34986,-6.9881,,0,2023-01-01 04:00:00,2023,1,1,8
10,,-39.860156700000005,,109.25281670000001,,0.07965733346934856,,,,9.3379393,2.36041,-6.9775,,0,2023-01-01 04:30:00,2023,1,1,9
11,,-39.860156700000005,,109.25281670000001,,0.07963730310281139,,,,9.3379393,2.33468,-7.0033,,0,2023-01-01 05:00:00,2023,1,1,10
12,,-39.860156700000005,,109.25281670000001,,0.07961682618793893,,,,9.3379393,2.30842,-7.0295,,0,2023-01-01 05:30:00,2023,1,1,11
13,,-39.860156700000005,,109.25281670000001,,0.07959635980070214,,,,9.3379393,2.28219,-7.0557,,0,2023-01-01 06:00:00,2023,1,1,12
14,,-39.860156700000005,,109.25281670000001,,0.07958776553450604,,,,9.3379393,2.27116,-7.0668,,0,2023-01-01 06:30:00,2023,1,1,13
15,,-39.860156700000005,,109.25281670000001,,0.07958168222023194,,,,9.3379393,2.2633799999999997,-7.0746,,0,2023-01-01 07:00:00,2023,1,1,14
16,,-39.860156700000005,,109.25281670000001,,0.07959278496896521,,,,9.3379393,2.27758,-7.0604,,0,2023-01-01 07:30:00,2023,1,1,15
17,,-39.860156700000005,,109.25281670000001,,0.07959423007504281,,,,9.3379393,2.27947,-7.0585,,0,2023-01-01 08:00:00,2023,1,1,16
18,,-40.069422499999995,,91.9845625,,0.06701079968519275,,,,7.62369,2.2749599999999996,-5.3487,,0,2023-01-01 08:30:00,2023,1,1,17
19,,-40.069422499999995,,91.9845625,,0.06701444971698327,,,,7.62369,2.28051,-5.3432,,0,2023-01-01 09:00:00,2023,1,1,18
20,,-8.4575677,,28.9432,,0.021098623209394634,,,,-0.9626925,2.34029,3.303,,0,2023-01-01 09:30:00,2023,1,1,19
21,,-15.1155166,,31.518209999999996,,0.02297677377297132,,,,0.8610359000000001,2.34496,1.4839,,0,2023-01-01 10:00:00,2023,1,1,20
22,,-40.069422499999995,,91.9845625,,0.06704597179092422,,,,7.62369,2.32849,-5.2952,,0,2023-01-01 10:30:00,2023,1,1,21
23,,-40.069422499999995,,91.9845625,,0.06704533080312541,,,,7.62369,2.3275099999999997,-5.2962,,0,2023-01-01 11:00:00,2023,1,1,22
