,H_orig,H_f,LE_orig,LE_f,ET_orig,ET_f,CO2,H2O,NEE_orig,NEE_f,Reco,GPP_f,Ustar,location,date,year,month,day,30min
1,,,,,,,,,,,3.16985,,,1,2023-01-01 00:00:00,2023,1,1,0
2,,,,,,,,,,,3.14542,,,1,2023-01-01 00:30:00,2023,1,1,1
3,,,,,,,,,,,3.11275,,,1,2023-01-01 01:00:00,2023,1,1,2
4,,,,,,,,,,,3.09425,,,1,2023-01-01 01:30:00,2023,1,1,3
5,,,,,,,,,,,3.0611900000000003,,,1,2023-01-01 02:00:00,2023,1,1,4
6,,,,,,,,,,,3.01883,,,1,2023-01-01 02:30:00,2023,1,1,5
7,,,,,,,,,,,2.98865,,,1,2023-01-01 03:00:00,2023,1,1,6
8,,,,,,,,,,,2.9836400000000003,,,1,2023-01-01 03:30:00,2023,1,1,7
9,,,,,,,,,,,2.9880299999999997,,,1,2023-01-01 04:00:00,2023,1,1,8
10,,,,,,,,,,,2.99744,,,1,2023-01-01 04:30:00,2023,1,1,9
11,,,,,,,,,,,2.96673,,,1,2023-01-01 05:00:00,2023,1,1,10
12,,,,,,,,,,,2.9051400000000003,,,1,2023-01-01 05:30:00,2023,1,1,11
13,,,,,,,,,,,2.83679,,,1,2023-01-01 06:00:00,2023,1,1,12
14,,,,,,,,,,,2.80746,,,1,2023-01-01 06:30:00,2023,1,1,13
15,,,,,,,,,,,2.7959,,,1,2023-01-01 07:00:00,2023,1,1,14
16,,,,,,,,,,,2.8025900000000004,,,1,2023-01-01 07:30:00,2023,1,1,15
17,,,,,,,,,,,2.79529,,,1,2023-01-01 08:00:00,2023,1,1,16
18,,,,,,,,,,,2.77707,,,1,2023-01-01 08:30:00,2023,1,1,17
19,,,,,,,,,,,2.78314,,,1,2023-01-01 09:00:00,2023,1,1,18
20,,,,,,,,,,,2.83067,,,1,2023-01-01 09:30:00,2023,1,1,19
21,,,,,,,,,,,2.86687,,,1,2023-01-01 10:00:00,2023,1,1,20
22,,,,,,,,,,,2.86441,,,1,2023-01-01 10:30:00,2023,1,1,21
23,,,,,,,,,,,2.84659,,,1,2023-01-01 11:00:00,2023,1,1,22
24,,,,,,,,,,,2.83679,,,1,2023-01-01 11:30:00,2023,1,1,23
25,,,,,,,,,,,2.83189,,,1,2023-01-01 12:00:00,2023,1,1,24
26,,,,,,,,,,,2.8208900000000003,,,1,2023-01-01 12:30:00,2023,1,1,25
27,,,,,,,,,,,2.81478,,,1,2023-01-01 13:00:00,2023,1,1,26
28,,,,,,,,,,,2.83311,,,1,2023-01-01 13:30:00,2023,1,1,27
29,,,,,,,,,,,2.83617,,,1,2023-01-01 14:00:00,2023,1,1,28
30,,,,,,,,,,,2.8239400000000003,,,1,2023-01-01 14:30:00,2023,1,1,29
31,,,,,,,,,,,2.8172200000000003,,,1,2023-01-01 15:00:00,2023,1,1,30
32,,,,,,,,,,,2.8032,,,1,2023-01-01 15:30:00,2023,1,1,31
33,,,,,,,,,,,2.78435,,,1,2023-01-01 16:00:00,2023,1,1,32
34,,,,,,,,,,,2.75287,,,1,2023-01-01 16:30:00,2023,1,1,33
35,,,,,,,,,,,2.74743,,,1,2023-01-01 17:00:00,2023,1,1,34
36,,,,,,,,,,,2.76193,,,1,2023-01-01 17:30:00,2023,1,1,35
37,,,,,,,,,,,2.77222,,,1,2023-01-01 18:00:00,2023,1,1,36
38,,,,,,,,,,,2.75347,,,1,2023-01-01 18:30:00,2023,1,1,37
39,,,,,,,,,,,2.70835,,,1,2023-01-01 19:00:00,2023,1,1,38
40,,,,,,,,,,,2.64755,,,1,2023-01-01 19:30:00,2023,1,1,39
41,,,,,,,,,,,2.61386,,,1,2023-01-01 20:00:00,2023,1,1,40
42,,,,,,,,,,,2.6044400000000003,,,1,2023-01-01 20:30:00,2023,1,1,41
43,,,,,,,,,,,2.59269,,,1,2023-01-01 21:00:00,2023,1,1,42
44,,,,,,,,,,,2.58448,,,1,2023-01-01 21:30:00,2023,1,1,43
45,,,,,,,,,,,2.5727700000000002,,,1,2023-01-01 22:00:00,2023,1,1,44
46,,,,,,,,,,,2.6523,,,1,2023-01-01 22:30:00,2023,1,1,45
47,,,,,,,,,,,2.62448,,,1,2023-01-01 23:00:00,2023,1,1,46
48,,,,,,,,,,,2.69488,,,1,2023-01-01 23:30:00,2023,1,1,47
49,,,,,,,,,,,2.7959,,,1,2023-01-02 00:00:00,2023,1,2,0
50,,,,,,,,,,,2.88968,,,1,2023-01-02 00:30:00,2023,1,2,1
51,,,,,,,,,,,2.94489,,,1,2023-01-02 01:00:00,2023,1,2,2
52,,,,,,,,,,,2.9729900000000002,,,1,2023-01-02 01:30:00,2023,1,2,3
53,,,,,,,,,,,2.9874,,,1,2023-01-02 02:00:00,2023,1,2,4
54,,,,,,,,,,,3.00247,,,1,2023-01-02 02:30:00,2023,1,2,5
55,,,,,,,,,,,3.02388,,,1,2023-01-02 03:00:00,2023,1,2,6
56,,,,,,,,,,,2.99681,,,1,2023-01-02 03:30:00,2023,1,2,7
57,,,,,,,,,,,2.97487,,,1,2023-01-02 04:00:00,2023,1,2,8
58,,,,,,,,,,,2.96924,,,1,2023-01-02 04:30:00,2023,1,2,9
59,,,,,,,,,,,2.97549,,,1,2023-01-02 05:00:00,2023,1,2,10
60,,,,,,,,,,,3.01883,,,1,2023-01-02 05:30:00,2023,1,2,11
61,,,,,,,,,,,3.0119,,,1,2023-01-02 06:00:00,2023,1,2,12
62,,,,,,,,,,,3.03587,,,1,2023-01-02 06:30:00,2023,1,2,13
63,,,,,,,,,,,3.02324,,,1,2023-01-02 07:00:00,2023,1,2,14
64,,,,,,,,,,,2.98113,,,1,2023-01-02 07:30:00,2023,1,2,15
65,,,,,,,,,,,2.96861,,,1,2023-01-02 08:00:00,2023,1,2,16
66,,,,,,,,,,,2.96924,,,1,2023-01-02 08:30:00,2023,1,2,17
67,,,,,,,,,,,2.96049,,,1,2023-01-02 09:00:00,2023,1,2,18
68,,,,,,,,,,,2.97174,,,1,2023-01-02 09:30:00,2023,1,2,19
69,,,,,,,,,,,2.94115,,,1,2023-01-02 10:00:00,2023,1,2,20
70,,,,,,,,,,,2.94676,,,1,2023-01-02 10:30:00,2023,1,2,21
71,,,,,,,,,,,2.94302,,,1,2023-01-02 11:00:00,2023,1,2,22
72,,,,,,,,,,,2.8761099999999997,,,1,2023-01-02 11:30:00,2023,1,2,23
73,,,,,,,,,,,2.88844,,,1,2023-01-02 12:00:00,2023,1,2,24
74,,,,,,,,,,,2.89339,,,1,2023-01-02 12:30:00,2023,1,2,25
75,,,,,,,,,,,2.8380099999999997,,,1,2023-01-02 13:00:00,2023,1,2,26
76,,,,,,,,,,,2.70476,,,1,2023-01-02 13:30:00,2023,1,2,27
