H_f,LE_f,H_orig,location,day,year,month,date,30min,LE_orig,waterVaporPressure,soilHeatflux,incomingShortwaveRadiation,airPressure,relativeHumidity,waterPressureDeficit,windSpeed,outgoingShortwaveRadiation
93.7665,112.711,93.7665,0,16,2023,2,2023-02-16 11:30:00,23,112.71,6.85790222627357,6.283666666666666,408.58200000000005,996.1406666666667,76.28966666666666,2.1313915089289743,1.9886666666666668,87.72533333333335
51.9651,30.422759999999997,51.9651,0,16,2023,2,2023-02-16 12:30:00,25,30.423000000000002,6.827808887544141,11.058,256.372,995.5479999999999,73.538,2.456926742394315,1.9106666666666667,53.086666666666666
69.53238,39.71283,69.53238,0,16,2023,2,2023-02-16 13:00:00,26,39.713,7.01258541417053,10.838333333333333,371.89366666666666,995.3256666666666,70.052,2.9979573457371522,1.5483333333333336,82.87366666666667
71.31974,39.38237,71.31974,0,16,2023,2,2023-02-16 13:30:00,27,39.382,6.9756071335301195,13.126333333333333,342.721,994.9896666666667,66.71833333333333,3.4797007031915994,2.116,78.38733333333333
48.844390000000004,32.02052,48.844390000000004,0,16,2023,2,2023-02-16 14:00:00,28,32.021,7.070665084038089,14.722000000000001,279.88033333333334,994.96,66.96333333333334,3.488344947379237,1.4283333333333335,62.98466666666667
43.001870000000004,27.691540000000003,43.001870000000004,0,16,2023,2,2023-02-16 14:30:00,29,27.691999999999997,7.25617132628407,15.668,254.45366666666666,994.6173333333332,67.13333333333334,3.5524254854598265,1.8419999999999999,57.59666666666667
19.68994,22.0967,19.68994,0,16,2023,2,2023-02-16 15:00:00,30,22.096999999999998,7.313103169382722,14.982666666666667,147.94633333333334,994.436,69.53133333333334,3.2046056372695135,1.4503333333333333,30.018
5.228082,13.759170000000001,5.22808,0,16,2023,2,2023-02-16 15:30:00,31,13.759,7.428141133418444,12.858666666666666,83.69933333333334,994.1839999999999,71.45299999999999,2.967701075331986,1.2463333333333333,16.909666666666666
-9.809325,14.05905,-9.80932,0,16,2023,2,2023-02-16 16:30:00,33,14.059000000000001,7.787271389902941,8.553333333333333,9.496,993.8093333333333,75.21600000000001,2.5659398815059884,1.0226666666666666,2.670666666666667
-15.24651,8.869304,-15.24651,0,16,2023,2,2023-02-16 17:30:00,35,8.8693,8.109725868449441,5.033333333333333,-1.7293333333333336,993.7923333333334,80.525,1.961340096715963,1.5536666666666668,0.7466666666666666
-11.78387,6.150437999999999,-11.78387,0,16,2023,2,2023-02-16 18:00:00,36,6.1504,8.152148074455534,4.033666666666666,-1.1756666666666666,993.9266666666666,81.86633333333333,1.8057280664760675,1.213,-0.13166666666666665
-8.512853999999999,4.288530000000001,-8.51285,0,16,2023,2,2023-02-16 18:30:00,37,4.2885,8.176117275285,3.312666666666667,-0.8626666666666667,994.1303333333332,82.44500000000001,1.7409392779141015,1.1169999999999998,-0.09966666666666668
-6.508585,2.871437,-6.50859,0,16,2023,2,2023-02-16 19:00:00,38,2.8714,8.190758780148231,2.798666666666666,-0.753,993.9549999999999,83.307,1.641258673545014,0.701,-0.15066666666666664
-11.3967,3.661725,-11.3967,0,16,2023,2,2023-02-16 19:30:00,39,3.6617,8.161157699525532,2.4,-1.022,993.574,83.283,1.6381503219500786,1.1620000000000001,-0.07933333333333333
-14.40444,6.167108,-14.40444,0,16,2023,2,2023-02-16 20:00:00,40,6.1671,8.136523255506075,2.0423333333333336,-1.0786666666666667,993.5036666666666,83.16533333333332,1.6470282910190104,1.6079999999999999,-0.133
-11.15905,5.5854550000000005,-11.15905,0,16,2023,2,2023-02-16 20:30:00,41,5.5855,8.184971245497717,1.7836666666666667,-1.0346666666666666,993.2943333333333,82.85133333333333,1.6941349996213138,1.5423333333333333,-0.043666666666666666
-17.21312,8.500698,-17.21312,0,16,2023,2,2023-02-16 21:00:00,42,8.5007,8.304609845706223,1.719,-0.8079999999999999,993.0576666666666,82.12833333333333,1.807137840686483,1.6963333333333335,-0.09766666666666668
-21.19369,9.081582000000001,-21.19369,0,16,2023,2,2023-02-16 21:30:00,43,9.0816,8.441463555439983,1.9100000000000001,-0.734,992.8159999999999,82.06166666666667,1.8452682382598553,1.939,-0.13733333333333334
-16.1886,5.813197,-16.1886,0,16,2023,2,2023-02-16 22:00:00,44,5.8132,8.50018045201688,2.244666666666667,-1.0813333333333333,992.6446666666666,81.48766666666667,1.9310673671012015,1.7830000000000001,0.033333333333333326
-11.32158,6.366658999999999,-11.32158,0,16,2023,2,2023-02-16 22:30:00,45,6.3667,8.560855239554904,2.4433333333333334,-0.9686666666666669,992.3993333333333,81.82633333333332,1.9013699278381182,1.5196666666666667,0.01733333333333333
-18.18159,10.491019999999999,-18.18159,0,16,2023,2,2023-02-16 23:00:00,46,10.491,8.62910779157112,2.569,-0.6680000000000001,992.4459999999999,81.70966666666668,1.931586118457215,1.8216666666666665,-0.2306666666666667
-18.64034,9.172229,-18.64034,0,16,2023,2,2023-02-16 23:30:00,47,9.1722,8.72771030753579,2.802,-1.075,992.2563333333334,83.444,1.7316520283251347,1.9796666666666667,-0.10799999999999998
-17.76916,9.137848,-17.76916,0,17,2023,2,2023-02-17 00:00:00,0,9.1378,8.681947393731056,3.0246666666666666,-0.9206666666666666,992.0946666666667,83.39366666666668,1.728852059941751,2.1876666666666664,-0.11366666666666668
-12.84532,5.569459999999999,-12.84532,0,17,2023,2,2023-02-17 00:30:00,1,5.5695,8.786915409055258,3.126,-0.715,991.9943333333334,85.678,1.4688274993404296,2.0283333333333333,-0.18300000000000002
