year,month,day,30min,day_of_year,location,H_orig,LE_orig,H_f,LE_f
2023,1,1,0,1,0,,,-44.25002,148.725575
2023,1,1,1,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,2,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,3,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,4,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,5,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,6,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,7,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,8,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,9,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,10,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,11,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,12,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,13,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,14,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,15,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,16,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,17,1,0,,,-40.069422499999995,91.9845625
2023,1,1,18,1,0,,,-40.069422499999995,91.9845625
2023,1,1,19,1,0,,,-8.4575677,28.9432
2023,1,1,20,1,0,,,-15.1155166,31.518209999999996
2023,1,1,21,1,0,,,-40.069422499999995,91.9845625
2023,1,1,22,1,0,,,-40.069422499999995,91.9845625
2023,1,1,23,1,0,,,-40.069422499999995,91.9845625
2023,1,1,24,1,0,,,-33.7409732,67.4736567
2023,1,1,25,1,0,,,-33.7409732,76.397064
2023,1,1,26,1,0,,,-33.7409732,76.397064
2023,1,1,27,1,0,,,-40.069422499999995,91.9845625
2023,1,1,28,1,0,,,-40.069422499999995,91.9845625
2023,1,1,29,1,0,,,-40.069422499999995,91.9845625
2023,1,1,30,1,0,,,-40.069422499999995,91.9845625
2023,1,1,31,1,0,,,-40.069422499999995,91.9845625
2023,1,1,32,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,33,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,34,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,35,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,36,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,37,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,38,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,39,1,0,,,-39.860156700000005,109.25281670000001
2023,1,1,40,1,0,,,-31.314065000000003,65.0913583
2023,1,1,41,1,0,,,-31.314065000000003,65.0913583
2023,1,1,42,1,0,,,-30.0492657,58.1603243
2023,1,1,43,1,0,,,-28.7910844,53.9386478
2023,1,1,44,1,0,,,-28.7910844,53.9386478
2023,1,1,45,1,0,,,-30.0492657,58.1603243
2023,1,1,46,1,0,,,-33.980104,75.392758
2023,1,1,47,1,0,,,-39.860156700000005,109.25281670000001
2023,1,2,0,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,1,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,2,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,3,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,4,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,5,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,6,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,7,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,8,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,9,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,10,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,11,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,12,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,13,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,14,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,15,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,16,2,0,,,-39.860156700000005,109.25281670000001
2023,1,2,17,2,0,,,-40.069422499999995,91.9845625
2023,1,2,18,2,0,,,-40.069422499999995,91.9845625
2023,1,2,19,2,0,,,-40.069422499999995,91.9845625
2023,1,2,20,2,0,,,-40.069422499999995,91.9845625
2023,1,2,21,2,0,,,-16.7260805,31.518209999999996
2023,1,2,22,2,0,,,-8.403481300000001,31.986490000000003
2023,1,2,23,2,0,,,-35.888825,35.24355
2023,1,2,24,2,0,,,-8.491381,31.986490000000003
2023,1,2,25,2,0,,,-40.069422499999995,91.9845625
2023,1,2,26,2,0,,,-40.069422499999995,91.9845625
2023,1,2,27,2,0,,,-26.3511658,49.812565
2023,1,2,28,2,0,,,-16.751975299999998,20.903185399999998
2023,1,2,29,2,0,,,-15.616505599999998,12.1142903
2023,1,2,30,2,0,,,-15.7630929,12.1531971
2023,1,2,31,2,0,,,-15.229305400000001,11.445651199999999
2023,1,2,32,2,0,,,-14.806377599999998,11.2242254
2023,1,2,33,2,0,,,-14.806377599999998,11.2242254
2023,1,2,34,2,0,,,-14.660356400000001,11.4336164
2023,1,2,35,2,0,,,-14.618474800000001,11.4990295
2023,1,2,36,2,0,,,-14.5177202,11.492485
2023,1,2,37,2,0,,,-14.4130158,11.4610062
2023,1,2,38,2,0,,,-14.3505414,11.464931199999999
2023,1,2,39,2,0,,,-14.259097400000002,11.4225485
2023,1,2,40,2,0,,,-13.9396302,11.403171400000002
2023,1,2,41,2,0,,,-13.1895617,11.235288
2023,1,2,42,2,0,,,-13.384866199999998,11.222784599999999
2023,1,2,43,2,0,,,-13.2688948,11.2678546
2023,1,2,44,2,0,,,-13.191634099999998,11.296130499999999
2023,1,2,45,2,0,,,-12.947664199999998,11.0164651
2023,1,2,46,2,0,,,-13.123368900000001,11.1316797
2023,1,2,47,2,0,,,-12.8940821,10.7233621
2023,1,3,0,3,0,,,-13.0229465,10.735776
2023,1,3,1,3,0,,,-12.9644631,10.7669752
2023,1,3,2,3,0,,,-12.9644631,10.7669752
2023,1,3,3,3,0,,,-12.9644631,10.7669752
2023,1,3,4,3,0,,,-12.6775087,10.4253531
2023,1,3,5,3,0,,,-12.614337800000001,10.3858655
2023,1,3,6,3,0,,,-12.614337800000001,10.3858655
2023,1,3,7,3,0,,,-12.495709699999999,10.3075332
2023,1,3,8,3,0,,,-12.495709699999999,10.3075332
2023,1,3,9,3,0,,,-12.495709699999999,10.3075332
2023,1,3,10,3,0,,,-12.2020864,9.5580462
2023,1,3,11,3,0,,,-11.9550352,10.042619
2023,1,3,12,3,0,,,-11.9905454,10.1891584
2023,1,3,13,3,0,,,-12.051642999999999,10.061753300000001
2023,1,3,14,3,0,,,-12.0878322,10.06506
2023,1,3,15,3,0,,,-11.4583727,8.4221546
2023,1,3,16,3,0,,,-11.361338900000002,8.406198800000002
2023,1,3,17,3,0,,,-10.884378100000001,8.8284746
2023,1,3,18,3,0,,,-13.3891897,15.148238800000001
2023,1,3,19,3,0,,,5.296533,25.231578
2023,1,3,20,3,0,,,10.0375796,31.159546000000002
2023,1,3,21,3,0,,,14.734567000000002,41.4638125
2023,1,3,22,3,0,,,34.5003625,50.62735870000001
2023,1,3,23,3,0,,,18.528879699999997,38.807976700000005
2023,1,3,24,3,0,,,38.9940044,52.7374
2023,1,3,25,3,0,,,42.86640429999999,53.764805700000004
2023,1,3,26,3,0,,,42.456337100000006,53.2822257
2023,1,3,27,3,0,,,18.1043285,35.884454600000005
2023,1,3,28,3,0,,,-4.2950483,20.3397342
2023,1,3,29,3,0,,,-9.076812199999999,12.9562282
2023,1,3,30,3,0,,,-8.0246485,16.234432899999998
2023,1,3,31,3,0,,,-8.5725252,13.8500286
2023,1,3,32,3,0,,,-13.0341227,10.044302
2023,1,3,33,3,0,,,-12.775658900000002,10.0842061
2023,1,3,34,3,0,,,-12.472019699999999,9.832885000000001
2023,1,3,35,3,0,,,-12.134587300000002,9.0185888
2023,1,3,36,3,0,,,-12.134587300000002,9.0185888
2023,1,3,37,3,0,,,-12.0695111,9.080735
2023,1,3,38,3,0,,,-11.970598599999999,9.263688499999999
2023,1,3,39,3,0,,,-12.0096554,9.927319699999998
2023,1,3,40,3,0,,,-11.970598599999999,9.263688499999999
2023,1,3,41,3,0,,,-11.9550352,10.042619
2023,1,3,42,3,0,,,-12.0878322,10.06506
2023,1,3,43,3,0,,,-12.0250808,10.1696259
2023,1,3,44,3,0,,,-11.9905454,10.1891584
2023,1,3,45,3,0,,,-11.7710035,10.426657400000002
2023,1,3,46,3,0,,,-11.83911,10.1891584
2023,1,3,47,3,0,,,-11.9495852,10.06506
2023,1,4,0,4,0,,,-11.7918841,9.9245916
2023,1,4,1,4,0,,,-11.625266499999999,9.474176199999999
2023,1,4,2,4,0,,,-11.6322975,8.7699504
2023,1,4,3,4,0,,,-11.597014,8.8476885
2023,1,4,4,4,0,,,-11.6322975,8.7699504
2023,1,4,5,4,0,,,-11.7012888,8.6819957
2023,1,4,6,4,0,,,-11.7012888,8.6819957
2023,1,4,7,4,0,,,-11.5379715,8.696283
2023,1,4,8,4,0,,,-11.6223951,8.5090388
2023,1,4,9,4,0,,,-11.6578145,9.016615199999999
2023,1,4,10,4,0,,,-11.4573485,8.3652591
2023,1,4,11,4,0,,,-11.398198599999999,8.3088974
2023,1,4,12,4,0,,,-11.3410538,8.2509642
2023,1,4,13,4,0,,,-11.2753692,8.1855274
2023,1,4,14,4,0,,,-11.198170900000001,8.112785
2023,1,4,15,4,0,,,-11.0964185,8.0481315
2023,1,4,16,4,0,,,-11.0964185,8.0481315
2023,1,4,17,4,0,,,-11.2420481,8.550489599999999
2023,1,4,18,4,0,,,-11.2038517,8.4433271
2023,1,4,19,4,0,,,-11.3297617,8.6744117
2023,1,4,20,4,0,,,-11.4855272,8.5608412
2023,1,4,21,4,0,,,-11.3297617,8.6744117
2023,1,4,22,4,0,,,-10.086915,9.5941356
2023,1,4,23,4,0,,,-11.2162215,8.978603300000001
2023,1,4,24,4,0,,,-11.092495800000002,9.3487299
2023,1,4,25,4,0,,,-11.3028405,9.1730179
2023,1,4,26,4,0,,,-11.092495800000002,9.3487299
2023,1,4,27,4,0,,,-10.697187800000002,11.131851699999999
2023,1,4,28,4,0,,,-11.4051708,9.2786876
2023,1,4,29,4,0,,,-11.4881314,8.955392199999999
2023,1,4,30,4,0,,,-11.7533173,8.749804
2023,1,4,31,4,0,,,-11.6612739,8.7653481
2023,1,4,32,4,0,,,-11.8068704,8.8197259
2023,1,4,33,4,0,,,-11.8068704,8.8197259
2023,1,4,34,4,0,,,-11.8068704,8.8197259
2023,1,4,35,4,0,,,-11.8068704,8.8197259
2023,1,4,36,4,0,,,-11.8068704,8.8197259
2023,1,4,37,4,0,,,-11.848348800000002,9.0108219
2023,1,4,38,4,0,,,-12.2244246,9.4593769
2023,1,4,39,4,0,,,-12.483020100000001,13.499336999999999
2023,1,4,40,4,0,,,-11.905144300000002,9.1703587
2023,1,4,41,4,0,,,-11.905144300000002,9.1703587
2023,1,4,42,4,0,,,-12.2244246,9.4593769
2023,1,4,43,4,0,,,-11.903483,9.127217
2023,1,4,44,4,0,,,-12.3757212,9.263945699999999
2023,1,4,45,4,0,,,-12.9298371,12.7370451
2023,1,4,46,4,0,,,-12.9444804,14.832696900000002
2023,1,4,47,4,0,,,-12.0225704,9.4593769
2023,1,5,0,5,0,,,-13.223251999999999,14.2008642
2023,1,5,1,5,0,,,-13.0580222,13.795285699999999
2023,1,5,2,5,0,,,-12.623665699999998,12.952102900000002
2023,1,5,3,5,0,,,-12.4753329,13.6097457
2023,1,5,4,5,0,,,-12.5325224,13.369798300000001
2023,1,5,5,5,0,,,-11.6280709,8.8197259
2023,1,5,6,5,0,,,-11.6280709,8.8197259
2023,1,5,7,5,0,,,-11.6280709,8.8197259
2023,1,5,8,5,0,,,-11.6280709,8.8197259
2023,1,5,9,5,0,,,-11.6280709,8.8197259
2023,1,5,10,5,0,,,-11.6280709,8.8197259
2023,1,5,11,5,0,,,-11.6280709,8.8197259
2023,1,5,12,5,0,,,-11.6280709,8.8197259
2023,1,5,13,5,0,,,-11.6280709,8.8197259
2023,1,5,14,5,0,,,-11.6280709,8.8197259
2023,1,5,15,5,0,,,-11.6280709,8.8197259
2023,1,5,16,5,0,,,-11.6280709,8.8197259
2023,1,5,17,5,0,,,-11.606586300000002,8.686655400000001
2023,1,5,18,5,0,,,-11.6994576,8.6726899
2023,1,5,19,5,0,,,-11.8008576,8.658354600000001
2023,1,5,20,5,0,,,-11.7260858,8.6726899
2023,1,5,21,5,0,,,-11.432467599999999,8.9592099
2023,1,5,22,5,0,,,-10.455327699999998,11.2514769
2023,1,5,23,5,0,,,-8.1145444,13.8065937
2023,1,5,24,5,0,,,-5.4841816,14.335825199999999
2023,1,5,25,5,0,,,4.9739016,22.083218399999996
2023,1,5,26,5,0,,,-6.815227,13.157264300000001
2023,1,5,27,5,0,,,-9.641062199999999,9.994525300000001
2023,1,5,28,5,0,,,-6.559468799999999,11.7421164
2023,1,5,29,5,0,,,-9.6550076,9.909867
2023,1,5,30,5,0,,,-9.6550076,10.565698699999999
2023,1,5,31,5,0,,,-11.442072099999999,8.9393901
2023,1,5,32,5,0,,,-11.3617519,8.8881474
2023,1,5,33,5,0,,,-11.3600138,8.7749939
2023,1,5,34,5,0,,,-11.3600138,8.7749939
2023,1,5,35,5,0,,,-12.527917500000001,11.464177000000001
2023,1,5,36,5,0,,,-12.2799017,9.692930699999998
2023,1,5,37,5,0,,,-11.3381397,8.341830499999999
2023,1,5,38,5,0,,,-10.3722288,7.2477518
2023,1,5,39,5,0,,,-10.542974000000001,6.6500807
2023,1,5,40,5,0,,,-11.094612,6.581084599999999
2023,1,5,41,5,0,,,-11.102666699999999,6.4566309
2023,1,5,42,5,0,,,-11.781606,6.683749400000001
2023,1,5,43,5,0,,,-12.7228144,6.923532700000001
2023,1,5,44,5,0,,,-13.037885800000002,6.8225931
2023,1,5,45,5,0,,,-12.8948603,6.784598599999999
2023,1,5,46,5,0,,,-13.3015318,7.0697079
2023,1,5,47,5,0,,,-13.6828753,7.219888
2023,1,6,0,6,0,,,-13.9552943,7.347752000000001
2023,1,6,1,6,0,,,-13.8859209,7.2366088
2023,1,6,2,6,0,,,-13.685855499999999,7.003349000000001
2023,1,6,3,6,0,,,-13.7496497,7.0416143
2023,1,6,4,6,0,,,-13.679500699999998,6.8187107000000005
2023,1,6,5,6,0,,,-14.034722699999998,6.6760692
2023,1,6,6,6,0,,,-14.103141099999998,6.5828353
2023,1,6,7,6,0,,,-14.1094302,6.5397607
2023,1,6,8,6,0,,,-14.186980599999998,6.4289177
2023,1,6,9,6,0,,,-14.161716,6.2721573
2023,1,6,10,6,0,,,-14.256974599999998,6.139454
2023,1,6,11,6,0,,,-14.2742332,5.9889443
2023,1,6,12,6,0,,,-14.273953099999998,5.8634995000000005
2023,1,6,13,6,0,,,-14.282938399999999,5.750745200000001
2023,1,6,14,6,0,,,-14.3913739,5.6122222
2023,1,6,15,6,0,,,-14.4918535,5.5662592
2023,1,6,16,6,0,,,-14.4918535,5.5662592
2023,1,6,17,6,0,,,-14.4918535,5.5662592
2023,1,6,18,6,0,,,-14.5137992,5.8161404999999995
2023,1,6,19,6,0,,,-14.4754182,6.123101999999999
2023,1,6,20,6,0,,,-12.8049364,11.048338699999999
2023,1,6,21,6,0,,,-9.5006633,11.920141099999999
2023,1,6,22,6,0,,,-12.3545311,11.4522023
2023,1,6,23,6,0,,,-11.9997649,12.2589151
2023,1,6,24,6,0,,,-11.6749841,12.4214746
2023,1,6,25,6,0,,,-11.6749841,12.4214746
2023,1,6,26,6,0,,,-11.6749841,12.4214746
2023,1,6,27,6,0,,,-11.6749841,12.4214746
2023,1,6,28,6,0,,,-12.3545311,11.4522023
2023,1,6,29,6,0,,,-11.6749841,12.4214746
2023,1,6,30,6,0,,,1.9209942,18.455778
2023,1,6,31,6,0,,,-11.9997649,12.2589151
2023,1,6,32,6,0,,,-14.5137992,5.8161404999999995
2023,1,6,33,6,0,,,-14.4918535,5.5662592
2023,1,6,34,6,0,,,-14.4918535,5.5662592
2023,1,6,35,6,0,,,-14.4918535,5.5662592
2023,1,6,36,6,0,,,-14.4918535,5.5662592
2023,1,6,37,6,0,,,-14.4918535,5.5662592
2023,1,6,38,6,0,,,-14.4918535,5.5662592
2023,1,6,39,6,0,,,-14.4918535,5.5662592
2023,1,6,40,6,0,,,-14.4918535,5.5662592
2023,1,6,41,6,0,,,-14.4918535,5.5662592
