"year","day_of_year","location","X30min","H_f","LE_f"
2023,47,0,23,93.7665,112.71
2023,47,0,25,51.9651,30.423
2023,47,0,26,69.53238,39.713
2023,47,0,27,71.31974,39.382
2023,47,0,28,48.84439,32.021
2023,47,0,29,43.00187,27.692
2023,47,0,30,19.68994,22.097
2023,47,0,31,5.22808,13.759
2023,47,0,33,-9.80932,14.059
2023,47,0,35,-15.24651,8.8693
2023,47,0,36,-11.78387,6.1504
2023,47,0,37,-8.51285,4.2885
2023,47,0,38,-6.50859,2.8714
2023,47,0,39,-11.3967,3.6617
2023,47,0,40,-14.40444,6.1671
2023,47,0,41,-11.15905,5.5855
2023,47,0,42,-17.21312,8.5007
2023,47,0,43,-21.19369,9.0816
2023,47,0,44,-16.1886,5.8132
2023,47,0,45,-11.32158,6.3667
2023,47,0,46,-18.18159,10.491
2023,47,0,47,-18.64034,9.1722
2023,48,0,0,-17.76916,9.1378
2023,48,0,1,-12.84532,5.5695
2023,48,0,2,-10.48481,3.2712
2023,48,0,3,-14.83415,7.6921
2023,48,0,4,-12.41682,2.8064
2023,48,0,5,-20.78394,3.9659
2023,48,0,6,-15.47151,4.7182
2023,48,0,7,-14.2415,5.6352
2023,48,0,8,-15.89309,3.9904
2023,48,0,9,-13.58063,2.6667
2023,48,0,10,-16.54318,2.9546
2023,48,0,11,-14.7057,2.2262
2023,48,0,12,-14.26667,2.6019
2023,48,0,13,-14.52554,2.7064
2023,48,0,14,-17.42757,1.7336
2023,48,0,15,-17.40576,4.2333
2023,48,0,16,-18.19727,6.4509
2023,48,0,17,-11.8483,11.355
2023,48,0,18,-11.4887,12.678
2023,48,0,19,-9.81778666666667,9.35644090909091
2023,48,0,20,-10.0870352,9.03228260869565
2023,48,0,21,-10.0870352,9.03228260869565
2023,48,0,22,-8.64096961538462,10.1616916666667
2023,48,0,23,-4.70496357142857,18.0245384615385
2023,48,0,24,-8.36282083333333,19.0831166666667
2023,48,0,27,60.016935,51.5283333333333
2023,48,0,28,16.3615333333333,33.437
2023,48,0,29,6.51883764705882,28.9955842105263
2023,48,0,30,-12.65204,2.71495
2023,48,0,31,-12.65204,2.71495
2023,48,0,32,-16.1324033333333,9.85996666666667
2023,48,0,33,-14.5450457142857,12.2439857142857
2023,49,0,3,-11.2306279591837,7.29807064516129
2023,49,0,4,-11.3034281818182,7.41141031914894
2023,49,0,5,-11.3965912222222,7.48764034883721
2023,49,0,6,-11.3965912222222,7.48764034883721
2023,49,0,7,-11.1889532954545,7.4013044047619
2023,49,0,8,-11.0926109756098,7.19377653846154
2023,49,0,14,-11.5978868571429,6.69173088235294
2023,49,0,32,-23.09313,24.15
2023,49,0,33,-27.22692,25.055
2023,49,0,34,-17.98387,13.584
2023,49,0,35,-22.46047,16.574
2023,49,0,36,-22.37341,18.625
2023,50,0,26,36.38683,44.393
2023,50,0,27,46.36695,60.692
2023,50,0,28,29.91467,49.572
2023,50,0,29,14.49438,53.89
2023,50,0,31,10.21404,38.325
2023,50,0,34,-2.24226,14.005
2023,50,0,37,-1.7381,3.4278
2023,50,0,38,-2.73479,4.1457
2023,50,0,39,-3.2595,2.8982
2023,50,0,40,-1.56382,4.235
2023,50,0,42,-1.25581,-5.2308
2023,50,0,44,-2.24006,-1.2
2023,50,0,45,-2.22901,4.3444
