year,month,day,30min,location,netRadiation,incomingShortwaveRadiation,soilHeatflux,airPressure,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,day_of_year,H_orig,LE_orig
2023,6,28,21,1,585.449,801.4666666666667,-23.883530376668062,963.0,8.775674430724365,10.17280929762823,3.436666666666667,53.68666666666667,179,200.6725,134.03
2024,5,12,19,0,389.42699999999996,739.8863333333334,42.346666666666664,992.0096666666668,9.254139233735053,12.411383667760294,3.2276666666666665,57.286333333333324,133,106.1496,159.42
2024,4,3,19,1,116.44766666666669,137.9,2.0553480418202557,950.0,0.9063352801428426,9.883370435843382,3.874333333333334,91.60000000000001,94,30.1035,60.556999999999995
2024,6,12,34,1,67.404,105.10000000000001,0.8085434295179038,960.0,3.1390614919573743,8.737826483666442,3.8843333333333336,73.57000000000001,164,-63.78796,96.38600000000001
2023,7,12,36,0,108.11400000000002,265.9356666666667,-5.553333333333334,984.1483333333332,17.521076168737295,12.10436120020068,2.1039999999999996,40.858000000000004,193,-15.053239999999999,93.086
2024,5,25,31,1,375.41,543.8333333333334,-9.620710484992399,961.0,10.0542750141121,12.369949982049,1.4506666666666668,55.16333333333333,146,214.6288,149.27
2023,3,4,40,0,-32.415333333333336,-1.8949999999999998,-2.9250000000000003,990.3763333333333,1.0975903686358066,6.347401731182,0.8746666666666667,85.25733333333334,63,-7.704289999999999,14.957
2023,6,18,21,1,583.4633333333331,800.1999999999999,-31.696407356688827,960.0,15.243500171499408,12.986946469958843,1.133,46.00333333333333,169,326.0319,317.56
2023,5,9,41,1,-72.89133333333331,-2.123,-32.95765528782188,953.0,8.87842542820495,7.579357743208083,3.612,46.05333333333334,129,-50.04182,15.979000000000001
2024,5,21,18,1,456.7543333333335,651.8000000000001,-4.128777507000481,953.0,7.003513072105443,13.960904425715674,4.005,66.59333333333332,142,168.3119,121.18
2023,6,18,37,1,22.87999999999994,128.83333333333334,-30.042507450438038,958.0,19.097562561498535,10.963137204751325,1.907,36.47,169,-9.827110000000001,42.553000000000004
2023,5,19,26,0,375.52700000000004,627.3716666666666,35.815666666666665,995.6793333333334,10.415316925799168,9.040685501004091,2.6006666666666667,46.46733333333333,139,86.35096,161.98
2023,6,1,26,0,540.4523333333333,905.648,46.839,991.3076666666666,6.912490239437346,13.30262197914649,1.6306666666666667,65.80533333333334,152,169.4498,111.57
2023,5,11,27,1,238.30866666666674,278.1666666666667,-33.169395000168855,957.0,1.0502896939823145,12.95357289244856,1.7993333333333332,92.5,131,42.85153,103.74
2024,6,2,35,0,40.54833333333334,77.328,0.36000000000000004,990.8679999999999,2.8352019860372,14.70827914778621,0.7833333333333333,83.839,154,3.93276,23.198
2024,4,20,15,1,72.82400000000001,96.78333333333335,12.936583577635078,956.6666666666666,0.7875911075079527,6.32919600852776,2.8913333333333333,88.93333333333334,111,26.263859999999998,26.945999999999998
2023,6,13,20,1,587.8013333333333,817.5,-21.000657286962493,961.0,15.232423465847747,8.997306331365001,2.8733333333333335,37.13333333333333,164,329.3847,235.26
2023,7,17,34,0,280.2126666666666,460.2816666666667,20.383333333333333,989.6876666666667,19.42770938621547,10.945646125901641,2.8776666666666664,36.037,198,48.92188,120.91
2023,5,29,14,0,139.07366666666667,391.1573333333333,-8.628,993.6423333333332,3.8097988562860454,11.220179273294383,1.2206666666666666,74.652,149,51.67337,60.114
2023,6,16,20,0,153.28166666666667,288.457,5.8406666666666665,989.8993333333333,8.012903643840174,13.133413965125962,0.6786666666666665,62.10733333333334,167,42.23507,53.92100000000001
2024,5,29,18,0,154.52,260.8156666666667,11.426666666666668,983.8566666666667,5.015632365364246,14.374698944033616,1.9036666666666668,74.13333333333334,150,26.61188,71.34899999999999
2023,5,26,39,0,-45.26866666666667,25.583,-1.028,999.1663333333332,7.27167890270046,8.512528023165903,0.5346666666666666,53.93066666666667,146,-41.06528,29.904
2023,6,29,9,0,-6.4046666666666665,5.665333333333334,-6.493333333333333,988.5856666666665,1.7875066450620025,15.908242877067089,0.7486666666666667,89.89866666666666,180,-2.64637,11.699000000000002
2024,6,29,43,0,-22.988333333333333,-2.276333333333333,-7.695,979.041,9.124712490506102,20.774732068462722,1.2916666666666667,69.48200000000001,181,-22.5839,12.802999999999999
2024,4,26,13,1,78.30699999999996,204.79999999999998,11.011254105191268,947.0,2.4634384602814796,5.6390890924478745,3.478,69.59666666666668,117,41.10585,8.3929
2024,4,4,0,0,-30.426666666666666,-2.177,-3.1766666666666663,979.7996666666667,1.0151540909012784,11.535689810618766,1.603,91.91166666666668,95,-20.93779,5.5488
2024,4,4,46,1,-32.84966666666662,-1.1246666666666667,-1.2518641460793278,955.0,1.6022442595562172,10.178963531298313,4.536666666666668,86.39999999999999,95,-19.907020000000003,5.0584
2024,4,29,25,1,598.1276666666668,792.1,-10.04432988788461,966.0,9.992648260017154,8.60524539346722,2.1630000000000003,46.27,120,303.8672,58.982
2024,4,4,37,1,-31.556666666666615,5.492,-5.2276067534506065,952.0,2.2833017174739503,9.671157536316372,4.540666666666667,80.9,95,-18.0349,2.1926
2023,3,13,46,0,-56.187000000000005,-4.692,5.755,964.9290000000001,2.1963363470162793,11.30849874429103,1.4393333333333331,83.73666666666666,72,-33.44964,-6.2457
2024,6,28,7,1,-62.877999999999986,-0.7606666666666668,-10.248109772293477,955.0,4.413041050337494,17.751906465169764,4.4143333333333326,80.09,180,-40.332570000000004,10.54
