year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2023,5,24,18,0,470.8783333333334,55.49422,76.778
2023,7,18,21,1,829.3333333333334,324.0706,145.14
2023,7,25,12,0,55.089,7.88714,10.380999999999998
2023,5,1,36,0,117.06566666666669,-12.76063,35.385999999999996
2024,5,21,27,0,461.52233333333334,28.8551,132.49
2023,3,12,44,0,-1.409333333333333,-34.54655,13.611
2024,5,12,40,1,-1.1646666666666667,-56.160059999999994,7.401
2024,6,17,13,1,163.79999999999998,11.90403,19.165
2024,4,21,23,0,276.67100000000005,46.06903,79.32
2023,7,8,28,0,822.6283333333334,51.04718,232.29
2024,4,6,18,0,362.5803333333334,34.36851,86.458
2023,5,10,3,1,-1.0843333333333334,-14.71014,2.8365
2024,5,10,14,1,323.8,91.88615,61.801
2023,7,18,0,1,-2.0849999999999995,-72.65966999999999,38.446
2024,4,21,39,0,-4.408,-21.26688,9.9514
2023,5,9,46,0,-4.191333333333334,-48.19452,27.289
2023,7,28,1,1,-0.0483333333333333,-139.8708,-3.7397
2024,5,20,13,0,133.52566666666667,12.8947,25.661
2024,6,29,43,1,-1.1923333333333332,-37.568940000000005,33.571999999999996
2023,6,7,1,1,-1.6053333333333333,-18.25432,20.938
2024,5,6,30,0,215.57866666666663,13.56148,56.535
2024,4,27,31,1,376.26666666666665,107.4231,37.889
2023,7,30,21,0,125.17400000000002,-13.37271,95.352
2023,3,1,23,0,556.7686666666667,133.4261,59.602
2023,5,31,26,1,871.6666666666666,288.4382,133.38
2023,6,12,12,1,231.63333333333335,35.91046,47.426
2024,5,10,38,1,31.323333333333338,-14.148079999999998,-7.1196
2024,4,24,39,0,-1.561,-5.20196,25.452
2024,5,30,36,1,66.93333333333334,-9.5191,42.126000000000005
2023,3,5,0,0,-1.1689999999999998,-8.138580000000001,5.3216
2023,4,28,40,0,-1.403333333333333,-13.61157,-0.016681
2024,4,22,41,1,-2.6813333333333333,-48.66093,2.2473
2023,6,8,26,1,811.6666666666666,193.4537,137.72
2023,2,28,32,0,226.6163333333333,32.73466,29.44
