year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,H_orig,LE_orig
2024,133,19,0,739.8863333333334,42.346666666666664,9.254139233735051,106.1496,159.42
2023,199,2,1,-2.327666666666667,-42.184904338184886,1.999555959923544,-61.52758000000001,23.111
2024,164,34,1,105.1,0.8085434295179038,3.1390614919573743,-63.78796,96.386
2024,178,21,0,833.4683333333332,101.25133333333332,17.197348698800884,96.19511,163.97
2024,98,14,0,122.29933333333334,1.3916666666666666,11.788720742831153,-33.02579,37.822
2023,63,40,0,-1.895,-2.9250000000000003,1.0975903686358066,-7.704289999999999,14.957
2023,169,21,1,800.1999999999999,-31.696407356688827,15.243500171499408,326.0319,317.56
2023,129,41,1,-2.123,-32.95765528782188,8.87842542820495,-50.04182,15.979
2024,116,16,1,225.69999999999996,12.609203336106711,0.4345388712529914,29.69308,56.701
2023,169,37,1,128.83333333333334,-30.04250745043804,19.097562561498535,-9.82711,42.553
2023,139,26,0,627.3716666666666,35.815666666666665,10.415316925799168,86.35096,161.98
2023,152,26,0,905.648,46.839,6.912490239437346,169.4498,111.57
2023,131,27,1,278.1666666666667,-33.169395000168855,1.0502896939823143,42.85153,103.74
2024,154,43,0,-1.101,-10.131666666666666,2.317200750143636,-9.98662,18.92
2024,111,17,1,243.13333333333333,12.418753048768163,1.223442974285983,58.43335,45.251000000000005
2023,164,20,1,817.5,-21.000657286962493,15.232423465847749,329.3847,235.26
2023,198,37,0,51.77133333333333,-7.605999999999999,14.117218527330817,-21.14091,41.65
2023,149,14,0,391.1573333333333,-8.628,3.8097988562860454,51.67337,60.114
2023,167,20,0,288.457,5.8406666666666665,8.012903643840174,42.23507,53.92100000000001
2024,150,18,0,260.8156666666667,11.426666666666668,5.015632365364246,26.61188,71.34899999999999
2023,146,39,0,25.583,-1.028,7.27167890270046,-41.06528,29.904
2023,180,9,1,9.153666666666666,-26.76379832978983,5.599465124548807,-6.670210000000001,4.9503
2024,172,38,1,116.89666666666666,-8.080463535683979,3.86432584705782,8.51539,13.245
2024,108,21,0,440.66100000000006,11.204666666666666,3.2877537366612613,60.38912,91.603
2024,118,23,1,614.2333333333333,-4.1743019238767225,7.673448685718244,196.1732,44.203
2024,161,21,0,864.0273333333334,56.45766666666666,11.886450993707587,151.9213,253.53
2024,145,21,1,514.1,-3.671842112328881,7.956245584166359,95.50916,98.158
2024,95,39,0,-2.7083333333333335,-0.157,2.434034942517478,-26.43532,37.955
2023,72,46,0,-4.692,5.755,2.1963363470162793,-33.44964,-6.2457
2023,189,16,1,554.9666666666667,-40.94312256652598,14.39258878122872,121.8926,117.81
2024,117,15,0,386.7226666666666,-6.665333333333334,4.172041850846943,58.75525,70.893
2024,178,26,1,829.6666666666666,-14.246819979698143,15.135072036123404,228.2419,257.14
2024,120,42,1,-1.966,-11.989590620899763,6.447166183985919,-70.14394,14.372
2024,99,10,0,-1.1806666666666663,-1.354666666666667,0.6331754048332634,-20.35533,198.87
2023,154,39,1,36.376666666666665,-35.01607501362831,10.912565474440129,-29.09894,22.962
2023,203,5,1,-1.777,-45.72094306139828,0.9810204273944568,-55.18721,11.371
2023,194,40,1,0.551,-32.29479275702959,4.5550136794993,-15.142870000000002,8.3491
2024,164,28,1,672.0333333333333,3.094644741919422,4.645281104649154,151.0791,182.86
2024,146,23,1,710.3333333333334,-5.320031632363543,6.635476513312728,198.7094,151.01
2023,52,44,0,-0.626,1.445,0.6276353696204477,-1.52129,3.2343
2023,154,44,1,-2.86,-34.20406841340775,8.468901567484544,-49.4202,8.1561
2023,187,20,1,702.0666666666667,-40.97481839496341,7.88370183761976,188.1211,138.52
2023,175,15,0,443.3956666666667,-2.796666666666667,5.043967022841533,58.29156,132.05
2023,198,41,1,-0.4356666666666666,-46.267804649301915,1.9785643726303943,-59.793519999999994,39.365
2024,121,38,1,29.44333333333333,-21.525804311637447,8.947570584490633,-39.535059999999994,45.367
2024,178,30,0,699.1866666666668,86.28433333333334,22.89543166258377,65.26983,153.12
2024,153,19,1,276.8666666666667,-2.034741575893696,0.4611479289457083,95.47217,28.930999999999997
2023,205,3,1,-1.8373333333333337,-47.743759253891405,2.288828659829834,-80.66015,38.992
2024,158,21,1,869.0,3.5221486721726736,7.374368301660237,233.471,145.14
2023,179,5,1,-2.472,-22.86188264634869,2.2951175144533735,-25.61247,1.5663
2023,150,25,0,907.4793333333332,46.56333333333333,10.712363499868506,144.4745,174.08
2023,117,28,0,714.8033333333333,25.720333333333333,8.385646077292856,141.5715,160.71
2023,150,20,1,808.8000000000001,-31.115027709048515,4.849812795463336,285.036,82.33
2023,212,36,1,44.45666666666667,-42.39389418413774,4.295840146313802,-22.38435,27.22
2024,115,47,1,-0.1263333333333333,8.912590075085161,0.34973455431071,-30.11747,22.779
2024,127,24,0,433.9086666666667,42.68333333333334,7.375133556101279,60.47476,100.64
2023,144,26,1,403.3,-30.909366648730668,4.068562448300394,133.292,56.504
2024,178,14,0,383.315,4.551333333333333,7.0978693048974435,79.29939,67.87899999999999
2024,175,44,0,-4.5056666666666665,-17.206333333333333,1.4505427483629862,-14.18575,-3.1372
2023,212,41,1,-0.7163333333333335,-41.982933888027546,3.9250966954699233,-47.92987,49.031000000000006
2023,181,45,1,-2.5966666666666662,-25.948607673744544,5.496362901957955,-57.81369,12.798
2023,65,1,0,-0.7566666666666667,-6.678666666666667,1.2531647261171237,-7.302910000000001,5.9331
2024,177,34,0,412.3066666666667,38.23866666666667,20.033481000751397,26.12442,112.73
2023,140,16,1,147.79999999999998,-30.911031041548178,2.0930592405082376,57.786559999999994,22.891
2024,131,21,0,758.5733333333334,64.616,14.403483810084214,129.289,211.89
2024,120,7,1,-1.251,-3.4224788931966996,3.5780144366187265,-17.05868,3.9706
2024,113,17,0,562.7236666666666,-0.7719999999999999,2.736034135966614,141.4882,109.22
2023,63,3,0,-0.5670000000000001,-5.164666666666666,0.6226631649074728,-9.35472,4.5771
2024,154,19,0,72.62166666666667,1.2303333333333333,0.778865994715801,7.58529,25.531
2024,94,16,1,114.03333333333336,3.970598571634432,0.4755355436911124,7.13385,67.288
2024,177,29,1,737.5666666666666,-14.051796547913618,15.31319828622556,217.3006,280.79
2024,95,13,0,19.282,-7.268666666666667,2.4544466289093148,-12.53111,16.11
2023,126,19,0,504.6523333333333,22.695666666666668,4.001061853235642,55.0621,107.05
2023,148,26,1,858.6666666666666,-33.96895483671077,14.2305186527315,303.0196,154.63
2023,194,7,1,-2.463333333333334,-20.165493917107344,5.562722360732103,-31.01721,5.5411
2023,168,23,1,905.3333333333334,-31.089844722070843,11.823302871919603,250.8524,161.7
2023,195,14,1,365.93333333333334,-31.902719701152648,5.604425753410144,51.63629,83.141
2024,103,21,0,538.5053333333334,43.91366666666667,7.501145537417507,66.12954,119.74
2024,154,35,0,77.328,0.36,2.8352019860372,3.93276,23.198
2024,109,17,1,155.0,13.650207765639037,0.3123949399602921,52.16063,39.412
2024,122,41,0,-4.526666666666667,-6.456333333333333,9.825549896443103,-54.30774,25.842
2023,166,28,1,678.9666666666667,-30.258154867660817,16.52152276514949,262.5963,142.23
2024,144,12,1,235.83333333333337,1.5499215607024246,1.3916257286677212,16.41853,21.523000000000003
2023,122,14,0,39.732000000000006,-0.947,1.3400035932561298,-5.2269,19.891
2024,143,22,1,100.7,-2.99967159353386,0.4921392100976796,-10.08003,11.083
2024,181,17,1,632.5666666666666,-0.4979682862779713,8.183720840225865,185.2737,123.07
