30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,year,H_orig,LE_orig
18,10.543666666666669,144,470.8783333333334,0,2023,55.49422,76.778
21,17.633333333333336,199,829.3333333333334,1,2023,324.0706,145.14
12,13.625333333333332,206,55.089,0,2023,7.88714,10.380999999999998
36,16.855,121,117.06566666666669,0,2023,-12.76063,35.385999999999996
27,23.549666666666667,142,461.52233333333334,0,2024,28.8551,132.49
44,7.741666666666666,71,-1.409333333333333,0,2023,-34.54655,13.611
40,15.61,133,-1.1646666666666667,1,2024,-56.160059999999994,7.401
13,13.936666666666667,169,163.79999999999998,1,2024,11.90403,19.165
23,6.1113333333333335,112,276.67100000000005,0,2024,46.06903,79.32
28,30.53633333333333,189,822.6283333333334,0,2023,51.04718,232.29
18,18.262,97,362.5803333333334,0,2024,34.36851,86.458
3,12.236666666666666,130,-1.0843333333333334,1,2023,-14.71014,2.8365
14,16.433333333333334,131,323.8,1,2024,91.88615,61.801
0,11.67,199,-2.0849999999999995,1,2023,-72.65966999999999,38.446
39,4.552333333333333,112,-4.408,0,2024,-21.26688,9.9514
46,14.948,129,-4.191333333333334,0,2023,-48.19452,27.289
1,15.333333333333334,209,-0.0483333333333333,1,2023,-139.8708,-3.7397
13,13.602000000000002,141,133.52566666666667,0,2024,12.8947,25.661
43,23.173333333333332,181,-1.1923333333333332,1,2024,-37.568940000000005,33.571999999999996
1,15.196666666666667,158,-1.6053333333333333,1,2023,-18.25432,20.938
30,17.45266666666667,127,215.57866666666663,0,2024,13.56148,56.535
31,16.933333333333334,118,376.26666666666665,1,2024,107.4231,37.889
21,18.512666666666664,211,125.17400000000002,0,2023,-13.37271,95.352
23,3.681,60,556.7686666666667,0,2023,133.4261,59.602
26,20.28,151,871.6666666666666,1,2023,288.4382,133.38
12,15.996666666666668,163,231.63333333333335,1,2023,35.91046,47.426
38,17.106666666666666,131,31.323333333333338,1,2024,-14.148079999999998,-7.1196
39,4.317333333333334,115,-1.561,0,2024,-5.20196,25.452
36,12.063333333333334,151,66.93333333333334,1,2024,-9.5191,42.126000000000005
0,1.704,64,-1.1689999999999998,0,2023,-8.138580000000001,5.3216
40,11.579333333333333,118,-1.403333333333333,0,2023,-13.61157,-0.016681
41,1.1343333333333334,113,-2.6813333333333333,1,2024,-48.66093,2.2473
26,20.416666666666668,159,811.6666666666666,1,2023,193.4537,137.72
32,4.608666666666667,59,226.6163333333333,0,2023,32.73466,29.44
5,11.97,149,-2.5096666666666665,1,2023,-65.05429000000001,1.7773
14,1.4293333333333331,116,148.1,1,2024,19.57137,47.071000000000005
28,18.233333333333334,187,494.26666666666665,1,2023,63.33152,79.825
14,13.959666666666664,202,134.15266666666668,0,2023,18.21139,38.63
46,12.090666666666666,128,-3.4796666666666667,0,2023,-28.928409999999996,19.969
