year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,day_of_year,H_orig,LE_orig
2023,6,28,21,1,801.4666666666667,-23.883530376668062,8.775674430724365,3.436666666666667,179,179,200.6725,134.03
2024,5,12,19,0,739.8863333333334,42.346666666666664,9.254139233735053,3.2276666666666665,133,133,106.1496,159.42
2024,4,3,19,1,137.9,2.0553480418202557,0.9063352801428426,3.874333333333334,94,94,30.1035,60.556999999999995
2024,6,12,34,1,105.10000000000001,0.8085434295179038,3.1390614919573743,3.8843333333333336,164,164,-63.78796,96.38600000000001
2023,7,12,36,0,265.9356666666667,-5.553333333333334,17.521076168737295,2.1039999999999996,193,193,-15.053239999999999,93.086
2024,5,25,31,1,543.8333333333334,-9.620710484992399,10.0542750141121,1.4506666666666668,146,146,214.6288,149.27
2023,3,4,40,0,-1.8949999999999998,-2.9250000000000003,1.0975903686358066,0.8746666666666667,63,63,-7.704289999999999,14.957
2023,6,18,21,1,800.1999999999999,-31.696407356688827,15.243500171499408,1.133,169,169,326.0319,317.56
2023,5,9,41,1,-2.123,-32.95765528782188,8.87842542820495,3.612,129,129,-50.04182,15.979000000000001
2024,5,21,18,1,651.8000000000001,-4.128777507000481,7.003513072105443,4.005,142,142,168.3119,121.18
2023,6,18,37,1,128.83333333333334,-30.042507450438038,19.097562561498535,1.907,169,169,-9.827110000000001,42.553000000000004
2023,5,19,26,0,627.3716666666666,35.815666666666665,10.415316925799168,2.6006666666666667,139,139,86.35096,161.98
2023,6,1,26,0,905.648,46.839,6.912490239437346,1.6306666666666667,152,152,169.4498,111.57
2023,5,11,27,1,278.1666666666667,-33.169395000168855,1.0502896939823145,1.7993333333333332,131,131,42.85153,103.74
2024,6,2,35,0,77.328,0.36000000000000004,2.8352019860372,0.7833333333333333,154,154,3.93276,23.198
2024,4,20,15,1,96.78333333333335,12.936583577635078,0.7875911075079527,2.8913333333333333,111,111,26.263859999999998,26.945999999999998
2023,6,13,20,1,817.5,-21.000657286962493,15.232423465847747,2.8733333333333335,164,164,329.3847,235.26
2023,7,17,34,0,460.2816666666667,20.383333333333333,19.42770938621547,2.8776666666666664,198,198,48.92188,120.91
2023,5,29,14,0,391.1573333333333,-8.628,3.8097988562860454,1.2206666666666666,149,149,51.67337,60.114
2023,6,16,20,0,288.457,5.8406666666666665,8.012903643840174,0.6786666666666665,167,167,42.23507,53.92100000000001
2024,5,29,18,0,260.8156666666667,11.426666666666668,5.015632365364246,1.9036666666666668,150,150,26.61188,71.34899999999999
2023,5,26,39,0,25.583,-1.028,7.27167890270046,0.5346666666666666,146,146,-41.06528,29.904
2023,6,29,9,0,5.665333333333334,-6.493333333333333,1.7875066450620025,0.7486666666666667,180,180,-2.64637,11.699000000000002
2024,6,29,43,0,-2.276333333333333,-7.695,9.124712490506102,1.2916666666666667,181,181,-22.5839,12.802999999999999
2024,4,26,13,1,204.79999999999998,11.011254105191268,2.4634384602814796,3.478,117,117,41.10585,8.3929
2024,4,4,0,0,-2.177,-3.1766666666666663,1.0151540909012784,1.603,95,95,-20.93779,5.5488
2024,4,4,46,1,-1.1246666666666667,-1.2518641460793278,1.6022442595562172,4.536666666666668,95,95,-19.907020000000003,5.0584
2024,4,29,25,1,792.1,-10.04432988788461,9.992648260017154,2.1630000000000003,120,120,303.8672,58.982
2024,4,4,37,1,5.492,-5.2276067534506065,2.2833017174739503,4.540666666666667,95,95,-18.0349,2.1926
2023,3,13,46,0,-4.692,5.755,2.1963363470162793,1.4393333333333331,72,72,-33.44964,-6.2457
2024,6,28,7,1,-0.7606666666666668,-10.248109772293477,4.413041050337494,4.4143333333333326,180,180,-40.332570000000004,10.54
2024,4,29,33,1,269.26666666666665,-15.86944534973389,10.140742194906089,2.0156666666666667,120,120,80.7035,44.00899999999999
2024,6,26,26,1,829.6666666666666,-14.246819979698145,15.135072036123404,2.18,178,178,228.2419,257.14
2024,4,23,36,1,73.50333333333334,1.667091059808128,5.080230993136277,1.5023333333333333,114,114,14.35856,7.4633
2023,6,28,9,1,39.23333333333333,-22.041626446945855,2.0974144954117584,2.702,179,179,-34.00708,4.7038
2023,6,3,39,1,36.376666666666665,-35.01607501362831,10.912565474440129,1.7803333333333333,154,154,-29.098940000000002,22.962
2023,7,22,2,1,-1.766333333333333,-46.12596943528956,0.8509173549038227,3.478,203,203,-33.21909,3.6645
2023,7,13,39,0,4.201666666666667,-23.245,6.028491553199093,0.9533333333333335,194,194,-14.98065,40.203
2024,6,12,28,1,672.0333333333333,3.094644741919422,4.645281104649154,3.655,164,164,151.0791,182.86
2023,7,13,39,1,5.6113333333333335,-32.087612033704445,5.400767006526374,3.768333333333333,194,194,-29.17105,30.177
2023,2,21,44,0,-0.626,1.445,0.6276353696204477,0.7213333333333334,52,52,-1.52129,3.2343
2023,6,3,44,1,-2.86,-34.20406841340775,8.468901567484544,2.411,154,154,-49.4202,8.1561
2023,7,3,13,0,193.69133333333335,-9.584666666666665,5.601667530855288,1.882,184,184,14.11176,60.97
2023,7,13,30,0,467.8483333333333,33.092333333333336,15.470003787887357,2.4426666666666663,194,194,55.25355,149.7
2024,4,6,22,0,507.15033333333344,69.395,11.113251705411505,2.8009999999999997,97,97,31.5888,113.31
2024,4,30,36,0,109.50866666666666,23.687,11.01490819183893,2.193,121,121,-19.687910000000002,25.945999999999998
2024,6,26,30,0,699.1866666666668,86.28433333333334,22.89543166258377,2.0399999999999996,178,178,65.26983,153.12
2024,6,1,19,1,276.8666666666667,-2.034741575893696,0.46114792894570833,4.489999999999999,153,153,95.47216999999999,28.930999999999997
2023,7,11,31,0,640.9250000000001,60.70400000000001,29.93216738982994,1.9006666666666667,192,192,36.88465,194.89
2023,7,30,15,0,351.157,21.364666666666665,7.175284432312335,1.7779999999999998,211,211,19.59232,80.977
2024,5,6,41,0,-3.764,-3.3876666666666666,1.6622589261169463,0.876,127,127,-7.240060000000001,-2.6553
2023,5,30,25,0,907.4793333333333,46.56333333333333,10.712363499868506,1.6666666666666667,150,150,144.4745,174.08
2023,4,27,28,0,714.8033333333333,25.720333333333333,8.385646077292856,1.3926666666666667,117,117,141.5715,160.71
2023,5,30,20,1,808.8000000000001,-31.115027709048515,4.849812795463336,2.4913333333333334,150,150,285.036,82.33
2024,6,15,17,1,158.4,-2.1369692835701417,1.469564264304534,4.881,167,167,-41.8203,167.12
2023,7,18,33,1,458.0,-51.39225303964311,15.317797553652383,2.6156666666666673,199,199,81.52525,176.85
2023,7,1,17,1,343.1000000000001,-24.9203023721552,6.501105998321123,4.175333333333334,182,182,35.04533,131.59
2023,5,24,26,1,403.3,-30.909366648730668,4.068562448300394,3.267666666666667,144,144,133.292,56.504
2023,7,23,16,0,403.5696666666666,38.367,10.44107806324653,1.7723333333333333,204,204,20.0151,86.251
2024,4,22,19,0,758.2036666666667,18.825999999999997,5.329797273413033,2.6799999999999997,113,113,176.7552,136.2
2023,7,31,40,0,-1.7353333333333332,-9.485333333333331,5.924914263821794,2.2533333333333334,212,212,-25.46013,27.915
2023,7,9,46,1,-0.9859999999999999,-25.4977743149196,7.613456613375575,3.826,190,190,-67.94315999999999,45.442
2023,3,6,1,0,-0.7566666666666667,-6.678666666666667,1.2531647261171237,1.1966666666666668,65,65,-7.302910000000001,5.9331
2024,4,15,27,1,368.26666666666665,-3.9883999605778597,6.869966113656262,5.013000000000001,106,106,187.7453,80.73100000000001
