TIMESTAMP_START,TIMESTAMP_MITTE,TIMESTAMP_ENDE,kurzwEinstrahlung_43m,kurzwAusstrahlun_43m,langwEinstrahlung_43m,langwAusstrahlung_43m,Luftdruck_43m,Lufttemperatur_43m,RelativeFeuchte_43m,Wasserdampfdruck_43m,Wasserdampfdefizit_43m,Niederschlag_43m,Windgeschw_I_43m,Windgeschw_II_43m
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,%,hPa,hPa,mm,ms-1,ms-1
2023-04-01 00:00:00,2023-04-01 00:05:00,2023-04-01 00:10:00,-0.123,1.635,345.86020452932837,354.70920452932836,940.0,7.984,83.2,8.924547518266447,1.8020720950345712,0.0,4.623,4.3439999999999985
2023-04-01 00:10:00,2023-04-01 00:15:00,2023-04-01 00:20:00,-0.083,1.649,347.15432624770153,354.84432624770153,940.0,7.907,83.8,8.941804301627425,1.7286065595031541,0.03,4.481,4.162
2023-04-01 00:20:00,2023-04-01 00:25:00,2023-04-01 00:30:00,-0.398,1.828,344.5658579004516,353.8778579004516,940.0,7.687,85.6,8.99762005973759,1.5136183278063253,0.02,4.126,3.617
2023-04-01 00:30:00,2023-04-01 00:35:00,2023-04-01 00:40:00,-0.389,1.938,342.7831911220761,353.24319112207615,940.0,7.553,87.0,9.061323250036647,1.3539908304652464,0.02,4.176,3.7
2023-04-01 00:40:00,2023-04-01 00:45:00,2023-04-01 00:50:00,-0.14300000000000002,1.584,346.19838863416527,352.9673886341652,940.0,7.499,87.9,9.121274101320303,1.255602009396764,0.01,4.338,3.84
2023-04-01 00:50:00,2023-04-01 00:55:00,2023-04-01 01:00:00,-0.06,1.178,346.97530712074087,352.42530712074085,940.0,7.398,88.9,9.161427280443228,1.1438902453646769,0.07,4.1930000000000005,3.737
2023-04-01 01:00:00,2023-04-01 01:05:00,2023-04-01 01:10:00,0.146,1.163,346.53398466154374,352.16898466154373,940.0,7.35,89.7,9.213501272351118,1.0579605697348544,0.02,4.301,3.83
2023-04-01 01:10:00,2023-04-01 01:15:00,2023-04-01 01:20:00,0.215,1.048,346.33180690213135,351.93780690213134,940.0,7.309,90.0,9.218358833566517,1.0242620926185015,0.01,4.317,3.96
2023-04-01 01:20:00,2023-04-01 01:25:00,2023-04-01 01:30:00,0.335,1.153,345.39978270779574,352.0277827077957,940.0,7.301,90.0,9.213301566044446,1.0237001740049383,0.05,4.787,4.464
